property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
,https://www.olx.in/kozhikode_g4058877/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala","{'amount': '30', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nmyuur5xmfne-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/palazhi_g5316983/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/calicut-civil-station_g1000000000003032/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '30', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nmyuur5xmfne-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/kozhikode_g4058877/for-sale-houses-apartments_c1725,"Home,Properties,For Sale: Houses & Apartments,For Sale: Houses & Apartments in Kerala","{'amount': '56', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nfqwpu1occy-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/kerala_g2001160/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments","{'amount': '36', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/4ycpok2k40mo3-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/kozhikode_g4058877,,"{'amount': '2', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/khd2d85oap15-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/,,"{'amount': '48', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/u4vqw233322g1-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/kozhikode_g4058877/for-rent-houses-apartments_c1723/q-lease,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '10', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/6s2uivi91f9n2-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/for-rent-houses-apartments_c1723,"Home,Properties","{'amount': '1', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/kr91ut4cnu9v-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/properties_c3,Home,"{'amount': '50', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ekxu48qio19m2-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/chandigarh_g4058651,,"{'amount': '8', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/19601eg4if1a1-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/chennai_g4059162,,"{'amount': '10', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/rmtbe3mfwifz1-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/kozhikode_g4058877/properties_c3,"Home,Properties,Properties in Kerala","{'amount': '30', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nmyuur5xmfne-IN/image;s=272x0,,,,Apartments,,
2BHK HOUSE FURNISHED,1783990373,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Ashokapuram,2BHK HOUSE FURNISHED","{'amount': '22', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/hq3z2id15h1b3-IN/image;s=850x0,:,,"Ashokapuram, Kozhikode, Kerala",Apartments,,
,https://www.olx.in/kozhikode_g4058877/for-rent-shops-offices_c1731,"Home,Properties,For Rent: Shops & Offices,For Rent: Shops & Offices in Kerala","{'amount': '12', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/dudzxrnbp2q02-IN/image;s=272x0,,,,Apartments,,
